,post_text,followers,friends,favorites,statuses,label
34,That's good news at least https://t.co/1S0L7ZAqjr,84,211,251,837,1
35,Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... 😴,84,211,251,837,1
40,They don't sleep like this now 💕... #catsoftwitter http://t.co/sya7RRr2Fa http://t.co/AgJ2tx5f93,84,211,251,837,1
41,Truly so awful 😟 https://t.co/jI4Lw4K8co,84,211,251,837,1
42,I don't understand this. What does it achieve?!😕Palmyra's Baalshamin temple 'blown up by IS' http://t.co/XvuLGzu73Q,84,211,251,837,1
44,Not having to get up in the morning for two whole weeks. Bliss. 😊,84,211,251,837,1
45,I feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,84,211,251,837,1
47,It feels like #shoreham coverage and alt media has now gone beyond news to 'ghoulish'...,84,211,251,837,1
48,"@ThomasEvansUKIP it's The Mail, it's entirely their MO. Mail Online is barely 'news' 😕",84,211,251,837,1
49,@OffensiveBanter it's so awful 😟,84,211,251,837,1
50,The awfulness of it continues. Heartbreaking 😟 https://t.co/wdZELWA3ah,84,211,251,837,1
51,Lazy afternoon snooze with my kitty cat... #lazysunday,84,211,251,837,1
52,The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends #shoreham,84,211,251,837,1
53,Pouring with rain in #cambridge. That sun didn't last long... 😕,84,211,251,837,1
55,I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff #lazysunday,84,211,251,837,1
58,"@JackDineen1 new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep x",84,211,251,837,1
59,I hope the pilot pulls through. There's been enough death today at #shoreham 😟 https://t.co/6whLQe3pk8,84,211,251,837,1
60,@Sarah_Booker @yorkshireguy I keep seeing comments that the pilot was saved. If true I find that quite incredible,84,211,251,837,1
61,"@Sarah_Booker @yorkshireguy urgh, awful 😢",84,211,251,837,1
62,"@yorkshireguy @Sarah_Booker I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",84,211,251,837,1
63,"@Sarah_Booker *this*. Dear god! Horrific image 😟 Awful, awful, awful 😢 https://t.co/gG0rUMNvmm",84,211,251,837,1
65,@Sarah_Booker BBC reporting 7 fatalities so far 😟 Just so awful,84,211,251,837,1
66,Toaster shopping is needlessly confusing...,84,211,251,837,1
67,"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking... #firstworldproblems",84,211,251,837,1
69,@Sarah_Booker I had the same thought 😟,84,211,251,837,1
70,"What an awful, awful tragedy. Let's hope the casualties are few 😟 https://t.co/fKRqw7XRHP",84,211,251,837,1
71,So true 💕 http://t.co/OC0WW3jUQB,84,211,251,837,1
72,Sofa shopping! Whoop! 🎉,84,211,251,837,1
73,My cat is always overjoyed to see me every morning. That kind of love is priceless 💕😊,84,211,251,837,1
74,@jessgrace_ beach trip 😉,84,211,251,837,1
75,@jessgrace_ are you going to go?,84,211,251,837,1
76,"It's dusk, but warm. Cool 😊💕 http://t.co/iZfy86TPbG",84,211,251,837,1
77,@MrBenBrown awesome motovlogs! Your commentary is great fun. Now I want a bike... 😉,84,211,251,837,1
79,Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼,84,211,251,837,1
81,@EONhelp you too! ☀️,84,211,251,837,1
82,"@EONhelp hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",84,211,251,837,1
83,"@EONhelp re my last tweet, don't worry, spoke to v helpful young lady. All sorted. Thx!",84,211,251,837,1
84,"@EONhelp hi, I'm trying to find a number to phone for a new account but can't find it. Please can you advise. Thx.",84,211,251,837,1
85,Fragile egos and umbrage taken in a blink. I need a break.,84,211,251,837,1
87,Two weeks off. I can't f'ing wait! I need to get away from work now.,84,211,251,837,1
89,Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but #lifeischanging,84,211,251,837,1
90,This is the last time I'm going to take this bus to work. Feels weird.,84,211,251,837,1
91,... I need to care less but don't want to have a hard heart 😕,84,211,251,837,1
92,I don't know why I allow myself to feel such disappointment in someone even after all this time...,84,211,251,837,1
93,Last day in the office for 2 weeks. Whoop! 😊,84,211,251,837,1
94,Horrible muggy weather #cambridge #weather,84,211,251,837,1
95,"Not, however, going to miss living on a road where people drive like lunatics...",84,211,251,837,1
96,Walking home... occurs to me that 'walking' home won't be possible soon. I will miss that...,84,211,251,837,1
97,Wondering if this will turn out to be Raymond... 😕 https://t.co/8La9quYnv2,84,211,251,837,1
98,I’ve decided that my life NEEDS a pink cuddler chair(bed) 😁💗🏡,84,211,251,837,1
99,I love this story  https://t.co/njKcbjQSPG,84,211,251,837,1
100,Good luck to all the kids getting their GCSE results today 🎓 #resultsday,84,211,251,837,1
101,No people &amp; no traffic... where is everyone? #quietcambridge,84,211,251,837,1
102,Can faffing be considered a hobby? I'm very good at that...,84,211,251,837,1
103,"This, absolutely this 💜 http://t.co/No4nlwFU0b",84,211,251,837,1
104,All I can think about right now is sofa shopping. Excited! lol 🏡🎉,84,211,251,837,1
105,I suppose I should get up...,84,211,251,837,1
106,Need to sleep but it's been an exciting day and I'm still buzzed 😁🏡,84,211,251,837,1
107,Mini hog earlier this evening. One of two that have moved in 💕 http://t.co/29co4uhEm0,84,211,251,837,1
109,"Another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent 👍🏼 😊",84,211,251,837,1
110,This is so me 😁 http://t.co/l7D49IpUgk,84,211,251,837,1
111,"I miss you, every single day. I don't think you know that. Still, it's true 💕",84,211,251,837,1
112,There's either an eyelash or an elephant in my eye. Either way the net result is the same... #pain,84,211,251,837,1
114,"@CeliaHammond my beautiful Spopie, adopted from CHAT in 2007. Loving the ☀️ last week 💗 #blackcatappreciationday http://t.co/ccLqLmsYPr",84,211,251,837,1
115,@Nimmykins do you still use this account?,84,211,251,837,1
116,@Paulamanning6 @RSPCA_official what a beauty!,84,211,251,837,1
117,Interesting reading... BBC News - Better diagnosis call for adults with ADHD http://t.co/ExEOX2R8CA,84,211,251,837,1
118,"@RSPCA_official this is my girl, Spopie #blackcatappreciationday http://t.co/mgDEVpbQ3O",84,211,251,837,1
119,Cementing my status as ‘that crocheting weirdo’ in the staff cafe... 😁,84,211,251,837,1
120,Hear hear  https://t.co/qWjDXE8Eww,84,211,251,837,1
121,Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised...,84,211,251,837,1
122,It feels autumnal out all of a sudden... 🍂🍁,84,211,251,837,1
123,Made Jess a cake... 🎂 http://t.co/0DIPzH62iM,84,211,251,837,1
126,I miss you every single day. Some days it feels like being gut-punched.,84,211,251,837,1
127,House smells of cake... 😍🎂,84,211,251,837,1
128,Cotton granny square: pink and grey #crochet #grannysquare http://t.co/ZQzUv3mbEX,84,211,251,837,1
129,"I've had my little car a year today. Happy Birthday little car, still going strong 🎉🚘",84,211,251,837,1
130,A bad week calls for #comfortfood http://t.co/pamCWA4299,84,211,251,837,1
131,I ❤️ Ely 😊💕 #ely #cambridgeshire https://t.co/SryXXpkJlQ,84,211,251,837,1
132,Gorgeous day for a drive to Ely @ Ely Catherdral https://t.co/J9sd3rju7k,84,211,251,837,1
133,@jessgrace_ I thought you said I could have him? 😉,84,211,251,837,1
134,@Sarah_Booker it looks awful down there. I hope you're okay xx https://t.co/E5oaLT18Yx,84,211,251,837,1
136,Block 12: another traditional #granny-square #crochet #crochetblanket #afghan http://t.co/DfaZPxheqH,84,211,251,837,1
137,Hog time! 💕 #hedgehog http://t.co/txlXnmZwgB,84,211,251,837,1
138,This http://t.co/9ckfTcg4to,84,211,251,837,1
139,"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me...",84,211,251,837,1
140,"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar 🐧",84,211,251,837,1
145,"This, yep http://t.co/J8chAUgPTy",84,211,251,837,1
146,"Big hoggle, out for his supper tonight. He's a magical little beastie 💗 http://t.co/z8ECvjJG46",84,211,251,837,1
149,Such a magical sky tonight. It changes in seconds #nofilter http://t.co/7Ms2AwwgQY,84,211,251,837,1
150,Beautiful sky tonight #nofilter http://t.co/C3DI8rp0bq,84,211,251,837,1
151,A rare Tuesday treat for dinner #comfortfood https://t.co/9LEtZ3J7NN,84,211,251,837,1
152,Bought today. Can't decide if this is super organised or waaay too early... http://t.co/q73bhZqJLn,84,211,251,837,1
153,"@lilypebbles sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you x",84,211,251,837,1
154,Must remember this... http://t.co/Pq9N006MBF,84,211,251,837,1
155,Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years http://t.co/wul3hxTvGR,84,211,251,837,1
157,"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",84,211,251,837,1
158,"Awake. Mind racing. Need to sleep, dammit! 😟 #insomnia",84,211,251,837,1
159,Square 11 done #crochet #crochetblanket http://t.co/4EHqftYzvt,84,211,251,837,1
160,"@the_candourist glad to see that you survived the brutality of the desert. Stay strong, be safe",84,211,251,837,1
161,I’ve just remembered that the new house has  range cooker. Whoop! Looking forward to road testing it 😊,84,211,251,837,1
162,Square 10 / lacy #crochet / pale blue DK yarn #crocheting #crochetblanket http://t.co/VRVVn6vqoH,84,211,251,837,1
163,9 squares made #crochet #crocheting http://t.co/mROMYKM0tA,84,211,251,837,1
166,"Deckchair in the sun, what's not to love? ☀️💕😎 #CatsOfTwitter http://t.co/VEGr1rwUag",84,211,251,837,1
167,Watching Pitch Perfect 2... Pat Benatar - We Belong https://t.co/WLLJ5EN5UY,84,211,251,837,1
168,"Natalie Imbruglia, where is she now...?",84,211,251,837,1
169,Two hoggles out for dinner so far tonight... #hedgehog http://t.co/ujiXe60Csl,84,211,251,837,1
171,@Woof_ALL_4_PETS beautiful kitty!,84,211,251,837,1
172,@ViviannaMakeup what a lovely kitchen!,84,211,251,837,1
174,Can you see me? 😎 #WorldCatDay http://t.co/D9tBTMHLsc,84,211,251,837,1
176,"It's not your chair, it's all mine! 💗#worldcatday http://t.co/HrwdUOKSYG",84,211,251,837,1
179,I might have completed on the house by this time next week. Whoop! 🎉🏡,84,211,251,837,1
180,@MrBenBrown just watched you &amp; Steve get your tats. Looked painless! I want now 👍🏼,84,211,251,837,1
181,Keeping me company while I work ❤️ #WorldCatDay @CatsProtection http://t.co/G4FLZSvK6P,84,211,251,837,1
182,What a happy little dog! :) : Rose plays with a balloon https://t.co/Q75cZVKHtz via @YouTube,84,211,251,837,1
183,4 snuffly hedgehogs out for dinner this evening ❤️,84,211,251,837,1
184,Poor babies :( https://t.co/SMZnjrNrrK,84,211,251,837,1
185,Oh no! What is wrong with people?!?!  :( https://t.co/zl9f9h6agQ,84,211,251,837,1
186,The estate agent is officially pissing me off now...,84,211,251,837,1
189,"@DonkeySanctuary a mention in The Times, fastest growing farm attraction. How lovely! Yay for the donkeys!! 💕 http://t.co/zFkMaLzZRK",84,211,251,837,1
190,Are the schools now out? There’s no traffic this morning. Feels really odd...,84,211,251,837,1
191,Square 8 complete. Trebles and bobbles! #crochet http://t.co/2cu6FpvKeW,84,211,251,837,1
194,"It's been a while river Cam, but you still fill me with joy 🙏🏼💕 https://t.co/SzdImZ4HBv",84,211,251,837,1
195,A beautiful evening for gentle walk home... https://t.co/JW4hie24Jl,84,211,251,837,1
196,Yaay! Grantchester! 😁👍🏼 https://t.co/YdQ4NKQyzc,84,211,251,837,1
197,I ❤️ bus drivers who actually wait for elderly passengers to sit before they start driving off. They aren't all so nice...,84,211,251,837,1
198,#RIP George... Minder star George Cole dies at 90 http://t.co/Om3Bqe3P57,84,211,251,837,1
199,Poffy will alway take time out from his hectic schedule of sleeping &amp; eating to give his buddy a quick wash... ❤️ http://t.co/2801UBO3on,84,211,251,837,1
200,Trying a new stitch. Bit uneven so  this is my test attempt 😊 #crochet https://t.co/9sEF1JpRGu,84,211,251,837,1
202,"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery 😳",84,211,251,837,1
203,I’m now a step closer towards contracts signed and completion on the house. Exciting times! 😎,84,211,251,837,1
204,Disgusting. I hope they catch the person doing it.  https://t.co/9ejubl3XC7,84,211,251,837,1
206,"@CatsProtection one of my girls, doing what she does best, sleeping! 💗 #WhiskersWednesday http://t.co/ZuJ8Nwz48B",84,211,251,837,1
207,I wish the foreign language schools in Cambridge would teach students some manners too... 😤,84,211,251,837,1
208,"Bad night's sleep. Weird, anxiety dreams have left me feeling anything but refreshed 😕",84,211,251,837,1
209,@the_candourist fantastic first vlog. Very emotional. Beautifully filmed. Good luck on your epic ride 👊🏼🍀,84,211,251,837,1
210,Just this http://t.co/VDErR663eU,84,211,251,837,1
211,...and it's only Tuesday morning... http://t.co/9mxCpI5SJN,84,211,251,837,1
212,Random song popped into my head... Midnight Train to Georgia. No idea why or where from... http://t.co/w0bsahUYbb,84,211,251,837,1
213,Life may only seem perfect to the outside world #motivationalquotes http://t.co/7EaDTs8Qb4,84,211,251,837,1
215,There's nothing more delicious than coming home and taking off the work clothes... 😊,84,211,251,837,1
216,Talking 80s TV shows this afternoon brought up mention of the talking aspidistra. Who remembers that? 😉,84,211,251,837,1
217,Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride https://t.co/zCH0e0kVFg,84,211,251,837,1
218,Retro sweets Monday 😁 https://t.co/qmca1QFuhs,84,211,251,837,1
223,"Monday, I'm coming to get ya #positiveaffirmations http://t.co/GV0tuIn8md",84,211,251,837,1
224,Remember this http://t.co/myLwHHyv1D,84,211,251,837,1
225,Pre 'Monday-anxiety' anxiety sucks 😟,84,211,251,837,1
226,How wonderful 😊💗 https://t.co/WVUwZfkLal,84,211,251,837,1
227,Holywell river front https://t.co/XjZYXOBaPt,84,211,251,837,1
228,Sunday lunch at the Old Ferryboat Inn... https://t.co/bB13500Cy2,84,211,251,837,1
229,"RIP Cilla... Cilla Black dies, aged 72 | via @Telegraph http://t.co/vXpY3OnxJS",84,211,251,837,1
230,The Bangles - Eternal Flame  http://t.co/WRv8vTcnJ8,84,211,251,837,1
231,Soooo sleepy... and it’s only 8:30 on a Saturday night! 😴,84,211,251,837,1
232,My first #crochet flower... http://t.co/ybbOv8iQik,84,211,251,837,1
233,Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,84,211,251,837,1
234,I only went in to @Hobbycraft for black buttons. Several balls of wool &amp; a needle felt kit later... http://t.co/qXCsJt0hOP,84,211,251,837,1
235,Mashed avocado on toast... breakfast of champions 💗 https://t.co/D22S28tSNT,84,211,251,837,1
237,💗 this... Tears For Fears - Head Over Heels http://t.co/wcdyqrNWCf,84,211,251,837,1
238,Mum is out of surgery and seems to be fine. Overnight in the hospital then home tomorrow... 😊,84,211,251,837,1
239,New #crochet project... making red poppies to sell for the British Legion. First flowers I’ve ever made 😊,84,211,251,837,1
240,What a vile sub-human... https://t.co/v8ADW40cVQ,84,211,251,837,1
241,Good to be home. Happy it’s finally Friday and work is over... 😊,84,211,251,837,1
243,Is #depression an illness? https://t.co/fDKqA7OpWA,189,169,698,3694,1
244,Searching for a #therapist that meets on weekends? https://t.co/I0KyqS5ccm,189,169,698,3694,1
245,The 1st Lady’s mental health road map? #mental #wellness https://t.co/GgGJ0N9ehX,189,169,698,3694,1
246,Want your #teen to practice safe #sex? #parenting https://t.co/rgooMJ9ZkN,189,169,698,3694,1
247,Untreated mental illness leaves 2 dead: #mentalillness https://t.co/5DbkU63byZ,189,169,698,3694,1
248,#Stereotypes about #teens can undermine parents? https://t.co/B4pt0UJftq,189,169,698,3694,1
249,What do you do when your loved one is in #crisis? https://t.co/iMsHcLlfeo,189,169,698,3694,1
250,#Parenting with mental illness: #mentalillness https://t.co/UZeFiuSCeN,189,169,698,3694,1
251,How #recovery from #addiction impacts the #family? https://t.co/7GesKMVBxI,189,169,698,3694,1
252,#Heroin deaths on a surge? https://t.co/BLn2Dy3wJd,189,169,698,3694,1
253,How not to raise a #narcissist: https://t.co/iFVP7n4lhD,189,169,698,3694,1
254,Top 13 #relationship deal breakers: https://t.co/G7XBNBG0a8,189,169,698,3694,1
255,CBT for the winter blues? https://t.co/S8qQPZffOG,189,169,698,3694,1
256,The Decisive #Marriage: https://t.co/4L9mJjBsj2,189,169,698,3694,1
257,Is mental suffering just like any other illness? #mentalillness https://t.co/mrRSFeHCJG,189,169,698,3694,1
258,75% of wounded veterans suffer from #PTSD? https://t.co/kja7b4hkfw,189,169,698,3694,1
259,"#Stressed, tired and rushed: #family https://t.co/46OCjnAljy",189,169,698,3694,1
260,The Client/ #Therapist #relationship: https://t.co/ZpP2xejRL5,189,169,698,3694,1
261,What's a #traumatic #birth? https://t.co/iSz9r9d4uR,189,169,698,3694,1
262,A U.S. #Therapist General? https://t.co/RR7pfW5wO0,189,169,698,3694,1
263,Is #addiction a crisis in the U.S.? https://t.co/idXDoONIbf,189,169,698,3694,1
264,How could jewelry help prevent sexual #assault? https://t.co/C4Y1ci0Voj,189,169,698,3694,1
265,#Gonorrhea becoming more resistant ? #STD https://t.co/3XSuj5vEO3,189,169,698,3694,1
266,Should parents have the #sex talk with their #children? https://t.co/8iuFQiNOWI,189,169,698,3694,1
267,Subtle #suicide: https://t.co/uI5SPpZjxF,189,169,698,3694,1
268,Does Halloween #traumatize #children? https://t.co/bBecDKmh2U,189,169,698,3694,1
269,#College students and #alcohol disorders: https://t.co/9zDvTemV2F,189,169,698,3694,1
270,More white men die from #suicide and #substance abuse: https://t.co/5DCfH8aiS1,189,169,698,3694,1
271,Same #sex #couples and fertility benefits: https://t.co/mDd33Zhdol,189,169,698,3694,1
272,March against #eating #disorders in Washington: https://t.co/7IXmAD1XaR,189,169,698,3694,1
273,#Anorexic woman weighed 40 pounds: https://t.co/lFS6FqgNFL,189,169,698,3694,1
274,Love a #women with #anxiety? https://t.co/rZXY9JGwBe,189,169,698,3694,1
275,#Mindfulness in the workplace: https://t.co/nIvRzSqE7W,189,169,698,3694,1
276,How to teach #children how to self-advocate: #parenting https://t.co/TjdzOMu5Ua,189,169,698,3694,1
277,How can #children inherit our #anxiety? https://t.co/ttw0BgRbqS,189,169,698,3694,1
278,#Children and self-esteem: https://t.co/S3Dz8UqYji,189,169,698,3694,1
279,What happens when you try to prevent every #suicide: https://t.co/YA5jcyIhij,189,169,698,3694,1
280,How to deal with mental health issues at work: #mentalhealth https://t.co/YzwzwPxXiy,189,169,698,3694,1
281,#Peer support and breaking the #stigma: https://t.co/avmVqvezGx,189,169,698,3694,1
282,"#Teens, #self-harm, #bullying, and #sexting: https://t.co/NCEKZw8t5A",189,169,698,3694,1
283,Limit video game time to help manage #ADHD? https://t.co/92w8iV5e6b,189,169,698,3694,1
284,How to stop #child #abuse? https://t.co/lFtW4lpGs2,189,169,698,3694,1
285,Need a weekend counseling appointment in CT? https://t.co/DRW6HNlRkY,189,169,698,3694,1
286,Do you know the signs of #child #neglect? https://t.co/PaLX7pYTc7,189,169,698,3694,1
287,#Love a person with mental illness? #mentalillness https://t.co/YN9txXMcRZ,189,169,698,3694,1
288,Messages to those with mental illness worldwide: #mentalillness https://t.co/zj4cyOnWoW,189,169,698,3694,1
289,How do you accept your #emotions? #acceptance https://t.co/ENrbFZ6qfS,189,169,698,3694,1
290,Need a #therapist that accepts #Husky insurance in CT? https://t.co/qa3Oxxuqah,189,169,698,3694,1
291,What are some side effects of #antidepressants? https://t.co/wPkchM2OsT,189,169,698,3694,1
292,Think your sadness may be #depression? https://t.co/N6Bo4PQLoZ,189,169,698,3694,1
293,Mental health and academic life: #mentalhealth https://t.co/HgTENMFT2y,189,169,698,3694,1
294,When it comes to #stress do women have it worse? https://t.co/FjCCS59mzn,189,169,698,3694,1
295,Poor #parenting and children behavior problems: https://t.co/ebDGrwjURk,189,169,698,3694,1
296,#Dating sites connected to STD  increase? https://t.co/8Tf90Gvl2Q,189,169,698,3694,1
297,Searching for a #counselor that meets on weekends? https://t.co/ORUlLlzO8D,189,169,698,3694,1
298,Subtle signs of #depression: https://t.co/Z5ZWJu2OoU,189,169,698,3694,1
299,#Men account for 76% of #suicides in 2014? https://t.co/ka1aDaKnDH,189,169,698,3694,1
300,Accountants and mental health: #stress https://t.co/p3k1LHa0WU,189,169,698,3694,1
301,Another way to counter #anxiety? https://t.co/RXiFoDLU56,189,169,698,3694,1
302,Does legalizing #prostitution lead to more #trafficking? https://t.co/YXt8mj2hkV,189,169,698,3694,1
303,Things you shouldn’t do after an #affair? https://t.co/Wv2Yf0IhHS,189,169,698,3694,1
304,Does early life #stress lead to #depression later on? https://t.co/UQLOWlVP8h,189,169,698,3694,1
305,Is your #marriage good for your health? https://t.co/Ba9iGINNBl,189,169,698,3694,1
306,Do you struggle with the need for #perfection? https://t.co/CYutjsH9Mi,189,169,698,3694,1
307,How has birth control impacted your #marriage? https://t.co/TDQFZL2Fur,189,169,698,3694,1
308,How do seniors cope with #depression? https://t.co/twyblQ4AxV,189,169,698,3694,1
309,How do you make sense out of #depression? https://t.co/E9DrgrClmn,189,169,698,3694,1
310,How does #stress effect your #health? https://t.co/GxXCFMGP1f,189,169,698,3694,1
311,Black men and mental illness: #mentalillness https://t.co/Cws4FHg48J,189,169,698,3694,1
312,Understanding #anxiety in men: https://t.co/YWQPeulzTW,189,169,698,3694,1
313,Mentally ill left behind: #mentalillnes https://t.co/3VBpl3SdHx,189,169,698,3694,1
314,Tackling feelings of #resentment? https://t.co/J8Vk1A07Du,189,169,698,3694,1
315,Myths that undermine #addiction #recovery? https://t.co/5ESWo5rKJ6,189,169,698,3694,1
316,How many people do you know with a #cocaine problem? #addiction https://t.co/MwkaTy7OK6,189,169,698,3694,1
317,#Children and pot #addiction https://t.co/iOPC5Nqd3X,189,169,698,3694,1
318,#PTSD after a flood? https://t.co/BwJukxaief,189,169,698,3694,1
319,#Volunteering improves mental health? https://t.co/BQaAvYc3Oy,189,169,698,3694,1
320,Taking care of yourself at #work: https://t.co/W8FnjtCA0Y,189,169,698,3694,1
321,Reversing childhood #obesity? https://t.co/6VzzS1CJQE,189,169,698,3694,1
322,Don’t take it out on the #children: https://t.co/LDjTKbaSs2,189,169,698,3694,1
323,Refusing treatment for #Bipolar Disorder: https://t.co/9dCkLqCX4i,189,169,698,3694,1
324,Doctors against #vaccines? https://t.co/177lF1Q8qM,189,169,698,3694,1
325,Spotlight on prescription #drug #abuse: https://t.co/yukITpDmZH,189,169,698,3694,1
326,#ADHD Ain’t no Daddy At Home Disorder? https://t.co/JJXPpxWit5,189,169,698,3694,1
327,Next time notice the feeling when someone smiles at you? #Mindfulness https://t.co/7Ft3W48rfZ,189,169,698,3694,1
328,Screening #children for #depression during physical exams? https://t.co/5rFzoySmuf,189,169,698,3694,1
329,#Genetic mutations cause half of #Autism? https://t.co/1CnUiIkrTR,189,169,698,3694,1
330,How does your job impact your mental #health? https://t.co/ZUMj52xLoi,189,169,698,3694,1
331,Australian Mental Health system broken? https://t.co/LRyHGfZWl0,189,169,698,3694,1
332,Scholars question if #ADHD even exists. https://t.co/q4ii1bMEw2,189,169,698,3694,1
333,#Children going to the chiropractor? https://t.co/vGJKGEVFkc,189,169,698,3694,1
334,Do you know about #bipolar disorder? https://t.co/xzNpPp52KQ,189,169,698,3694,1
335,Kids and Screen (electronics) #Addiction: https://t.co/r4wcXN9sut,189,169,698,3694,1
336,Increase in #ADHD medication use? https://t.co/WhwDD2QWpU,189,169,698,3694,1
337,Older women still enjoy #sex too: https://t.co/WYdF2jnlFq,189,169,698,3694,1
338,Has anyone expressed concern about how much you worry? #anxiety https://t.co/rdbvL7dh2S,189,169,698,3694,1
339,What does love #addicted mean: https://t.co/wngEb677PF,189,169,698,3694,1
340,Talking is the best #therapy? https://t.co/2xvhKey1tg,189,169,698,3694,1
341,#College kids and #alcohol: https://t.co/2CSoRPUfZK,189,169,698,3694,1
342,Getting teachers #mental #health training? https://t.co/MNjGsSjD9i,189,169,698,3694,1
343,People in #recovery need support: https://t.co/NIKUZDhvBE,189,169,698,3694,1
344,Should he tell her that he dated men in the past? #relationships #dating https://t.co/Gwpg91mSed,189,169,698,3694,1
345,Real men don’t get #depression’ stereotype: https://t.co/GtspMr4CGq,189,169,698,3694,1
346,Worsts habits for mental #health: https://t.co/33Ut0oiyz7,189,169,698,3694,1
347,Tips on how to overcome #depression? https://t.co/7lcb7WzVgz,189,169,698,3694,1
348,Different #parenting styles: https://t.co/c66HoSyQqt,189,169,698,3694,1
349,Link between #maternity leave and #mental #health: https://t.co/5zEhlOUcQK,189,169,698,3694,1
350,Savoring #positive #emotions: https://t.co/PBrbURybaE,189,169,698,3694,1
351,"Suicide, a survivor’s point of view: https://t.co/h4xLIPlYty",189,169,698,3694,1
352,Increased funding for Youth Mental Health and Substance abuse #prevention? https://t.co/ErUxHbej4z,189,169,698,3694,1
353,Daily admissions for #self-harm: https://t.co/eaKfenpevI,189,169,698,3694,1
354,Signs of mental #strength and #resilience: https://t.co/6QaeGINVG7,189,169,698,3694,1
355,Questions about sex #addiction? https://t.co/u13qKo3rAl,189,169,698,3694,1
356,Women at greater risk for #PTSD then men? https://t.co/D53j1s80i9,189,169,698,3694,1
357,Want to improve #relationships? https://t.co/eqKMa8DZN9,189,169,698,3694,1
